;CD1_D2_up;CD1_D2_do;CD1_D3_up;CD1_D3_do;CD1_D4_up;CD1_D4_do;CD2_D3_up;CD2_D3_do;CD2_D4_up;CD2_D4_do;CD3_D4_up;CD3_D4_do;HSD1_D2_up;HSD1_D2_do;HSD1_D3_up;HSD1_D3_do;HSD1_D4_up;HSD1_D4_do;HSD2_D3_up;HSD2_D3_do;HSD2_D4_up;HSD2_D4_do;HSD3_D4_up;HSD3_D4_do;RAD1_D2_up;RAD1_D2_do;RAD1_D3_up;RAD1_D3_do;RAD1_D4_up;RAD1_D4_do;RAD2_D3_up;RAD2_D3_do;RAD2_D4_up;RAD2_D4_do;RAD3_D4_up;RAD3_D4_do;abund_Total;log10;Kingdom;Phylum;Class;Order;Family;Genus;Species
OTU-374;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5106;3.70808081;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_;s_
OTU-375;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;4374;3.640878779;k_Bacteria;p_Verrucomicrobia;c_Verrucomicrobiae;o_Verrucomicrobiales;f_Verrucomicrobiaceae;g_;s_
OTU-375650;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1284;3.108565024;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;s_foraminis
OTU-376383;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6723;3.827563111;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Planococcaceae;_;s_
OTU-377893;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8668;3.937918903;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Micromonosporaceae;_;s_
OTU-382;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;13745;4.138144744;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas;s_caviae
OTU-383;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1521;3.182129214;k_Bacteria;p_Acidobacteria;c_iii1-8;o_DS-18;f_;g_;s_
OTU-385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;12587;4.099922232;k_Bacteria;p_Bacteroidetes;c_[Saprospirae];o_[Saprospirales];f_Chitinophagaceae;g_Chitinophaga;s_
OTU-387;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;3306;3.519302849;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_;g_;s_
OTU-388;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3582;3.554125582;k_Bacteria;p_Verrucomicrobia;c_Verrucomicrobiae;o_Verrucomicrobiales;f_Verrucomicrobiaceae;g_Luteolibacter;s_
OTU-389;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3284;3.516403148;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodospirillales;f_Rhodospirillaceae;g_;s_
OTU-390;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;11851;4.073754998;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_[Mogibacteriaceae];g_Anaerovorax;s_
OTU-391588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8158;3.911583701;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;s_badius
OTU-395484;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4464;3.649724186;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Paenibacillaceae;g_Paenibacillus;s_
OTU-40;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;13112;4.117668941;k_Bacteria;p_Bacteroidetes;c_Sphingobacteriia;o_Sphingobacteriales;f_;g_;s_
OTU-406369;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1277;3.106190897;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_facilis
OTU-4105;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1106;3.043755127;k_Bacteria;p_Acidobacteria;c_Acidobacteria-6;o_iii1-15;f_;g_;s_
